Agrippa (Agr.)
Appius (Ap.)
Aulus (A.)
Caeso (K.)
Decimus (D.)
Faustus (F.)
Gaius (C.)
Gnaeus (Cn.)
Lucius (L.)
Mamercus (Mam.)
Manius (M'.)
Marcus (M.)
Numerius (N.)
Octavius (Oct.)
Opiter (Opet.)
Postumus (Post.)
Proculus (Proc.)
Publius (P.)
Quintus (Q.)
Servius (Ser.)
Sextus (Sex.)
Spurius (Sp.)
Statius (St.)
Tiberius (Ti.)
Titus (T.)
Vibius (V.)
Volesus (Vol.)
Vopiscus (Vop.)
Hostus (Hostus)
Lars (Lars)
Pacuvius (Pacuvius)
