Person ID;Date Source Text;Date Start;Start Uncertain;Date End;End Uncertain;Note Ref;Praenomen;Nomen;RE;Filiation;Cognomen;Other Names;Original Name Text;Review Later;
0;44;44;0;44;0;480;C.;Cossutius;4;;Maridianus;;C. Cossutius Maridianus (4);
0;74;74;0;74;0;395;L.;Cossutius;6;;Sabula;;L. Cossutius C.f. Sabula (6);
0;72;72;0;72;0;399;Q.;Crepereius;8;;Rocus;;Q. Crepereius Rocus (8);
0;82;82;0;82;0;360;P.;Crepusius;1;;;;P. Crepusius (1);
0;147;147;0;147;0;218;L.;Cupiennius;3;;;;L. Cupiennius (3);
0;142;142;0;142;0;223;C.;Curiatius;10;;Trigeminus;;C. Curiatius Trigeminus (10);
0;135;135;0;135;0;240;C.;Curiatius;11;;Trigeminus;filius;C. Curiatius Trigeminus filius (11);
0;116-115;116;0;115;0;285;Q.;Curtius;11;;;;Q. Curtius (11);
0;150;150;0;150;0;207;-.;Decimius;9;;Flavus;;(Decimius) Flavus;
0;128;128;0;128;0;261;Cn.;Domitius;cf. 20, Supb.3.349;;;;Cn. Domitius (cf. 20, Supb.3.349);
0;39;39;0;39;0;532;Cn.;Domitius;43 cf. 11, Supb.3.394;;Calvinus;;Cn. Domitius M.f.M.n. Calvinus (43 cf. 11, Supb.3.394);
0;75;75;0;75;0;391;C.;Egnatius;27;;Maximus;;C. Egnatius Cn.f.Cn.n. Maximus (27);
0;97;97;0;97;0;333;C.;Egnatuleius;1;;;;C. Egnatuleius C.f. (1);
0;47-44;47;0;44;0;461,478;-.;Eppius;1;;;;Eppius (1);
0;102;102;0;102;0;322;C.;Fabius;15, cf. 82;;Hadrianus;;C. Fabius C.f. Hadrianus;
0;82-81;82;0;81;0;366;L.;Fabius;84;;Hispaniensis;;L. Fabius L.f. Hispaniensis;
0;126;126;0;126;0;268;N.;Fabius;125;;Pictor;;N. Fabius Pictor (125);
0;132;132;0;132;0;251;M.;Fabrinius;1;;;;M. Fabrinius (1);
0;86;86;0;86;0;351;M.;Fannius;14;;;;M. Fannius C.f. (14).;
0;75;75;0;75;0;392;L.;Farsuleius;1;;Mensor;;L. Farsuleius Mensor (1);
0;109-108;109;0;108;0;302;L.;Flaminius;6;;C[h]ilo;;L. Flaminius C[h]ilo (6);
0;114-113;114;0;113;0;290;C.;Fonteius;6, ?2;;;;C. Fonteius (6 and ?2);
0;108 or 107;108;1;108;1;307;M'.;Fonteius;8, ?2;;;;M'. Fonteius (8 and ?2);
0;85;85;0;85;0;353;M'.;Fonteius;9;;;;M'. Fonteius C.f. (9);
