Date,                  Page,       Note Ref,   Assertion Type,         Praenomen,      Nomen,                RE,                       Filiation,                       Cognomen,                        Patrician,    Certainty,    Consular Ancestor,      Certainty,   Calculated Father,           Suggested Father,                                                                       Certainty,      Calculated Grandfather,                 Suggested Grandfather,                                              Certainty,      Brother,                                                            Certainty,      More Remote,                                                        Certainty,      Novus,              Novus Certainty     
253,726,11,         ,                      L,              Postumius,56,                      L.f. L.n.,                       Megellus ,                      Patrician,    Certain,     Yes,                    Certain,     L. Postumius,               L. Postumius (*19) Megellus,                                                           ,               L. Postumius,                           L. Postumius (*19) Megellus,                                       ,               ,                                                                   ,               ,                                                                  ,               ,
242,726,        ,           ,                      Q,              Valerius,157,                     Q.f. P.n.,                       Falto,                          Patrician,    Certain,     ,                       ,            Q. Valerius,                ,                                                                                      ,               P. Valerius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
234,726,        ,           ,                      P,              Cornelius,42,                      ,                                ,                               Patrician,    Certain,     ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
227,726,12,         ,                      C,              Flaminius,2,                       C.f. L.n.,                        ,                              ,             ,            ,                       ,            C. Flaminius,               ,                                                                                      ,               L. Flaminius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               Y,
227,726,8,          ,                      M,              Valerius,             see 211,                 ,                                ,                               Patrician,    Certain,     ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?before 220,726,8,          ,                      M,              Livius,33,                      M.f. M.n.,                       Salinator ,                     ,             ,            ,                       ,            M. Livius,                  ,                                                                                      ,               M. Livius,                              ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
219,726,13,         ,                      L,              Manlius,92,                      ,                                (Vulso) ,                       Patrician,    Certain,     Yes,                    Certain,     ,                           L. Manlius (101) Vulso Longus,                                                         Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
??before 218,726,20,         ,                      K,              Quinctius,41,                      ,                                Flamininus ,                    Patrician,    Certain,     Yes,                    Certain,     ,                           K. Quinctius (*19) Claudus,                                                            Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?before 218,726,16,         ,                      C?,             Aelius,"               103, cf. 148, 149",       ,                                Tubero ,                        ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?before 218,726,17,         ,                      C,              Servilius,59,                      ,                                (Geminus) ,                     ,             ,            Yes,                    Certain,     ,                           P. Servilius (62) Geminus,                                                             Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?before 218,726,17,         ,                      C,              Papirius,58,                      L.f.,                            Maso ,                          Patrician,    Certain,     ,                       ,            L. Papirius,                L. Papirius (61) Maso,                                                                 Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?before 218,726,17,         ,                      M,              Annius,15,                      ,                                ,                               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?before 218,726,17,         ,                      M',             Acilius,9,                       ,                                ,                               ,             ,            ,                       ,            M_. Acilius,               ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?before 218,726,17,         ,                      C,              (Baebius??),          absent,                  ,                                Herennius,                      ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?before 218,726,18,         ,                      Q,              Baebius,45,                      (Cn.f.),                         Tamphilus ,                     ,             ,            ,                       ,            Cn. Baebius,                ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?before 218,726,19,         ,                      Q,              Aelius,103,                     ,                                Paetus ,                        ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               P. Aelius (100) Paetus,                                            Certain,        ,
?before 218,726,19,         ,                      P,              Cornelius,266,                     ,                                Merenda ,                       Patrician,    Certain,     Yes,                    Certain,     ,                           Ser. Cornelius (267) Merenda,                                                          Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?218,727,        ,           ,                      C,              Atilius,11,                      ,                                (?Regulus),                     ,             ,            ,                       ,            ,                           C. Atilius (48) Regulus,                                                               ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
before 218,726,        ,           ,                      M,              Claudius,220,                     M.f. M.n.,                       Marcellus,                      ,             ,            Yes,                    Certain,     M. Claudius,                ,                                                                                      ,               M. Claudius,                            M. Claudius (219) Marcellus,                                       Certain,        ,                                                                   ,               ,                                                                  ,               ,
before 218,726,        ,           ,                      L,              Postumius,40,                      A.f. A.n.,                       Albinus,                        Patrician,    Certain,     Yes,                    Certain,     A. Postumius,               A. Postumius (*21) Albinus,                                                            Certain,        A. Postumius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
before 218,726,        ,           ,                      M,              Pomponius,            ?,                       ,                                Matho,                          ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
before 218,726,        ,           ,                      P,              Furius,80,                      Sp.f. M.n.,                      Philus,                         Patrician,    Certain,     ,                       ,            Sp. Furius,                 ,                                                                                      ,               M. Furius,                              ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
before 218,726,        ,           ,                      M,              Valerius,211,                     P.f. P.n.,                       Laevinus,                       Patrician,    Certain,     Yes,                    Certain,     P. Valerius,                ,                                                                                      ,               P. Valerius,                            P. Valerius (213) Laevinus,                                        Certain,        ,                                                                   ,               ,                                                                  ,               ,
before 218,726,14,         ,                      C,              Aurelius,"             95, cf. 15",              C.f. C.n.,                       Cotta,                          ,             ,            ,                       ,            C. Aurelius,                ,                                                                                      ,               C. Aurelius,                            ,                                                                  ,               ,                                                                   ,               C. Aurelius (94) Cotta,                                            Certain,        ,
before 218,726,15,         ,                      Q,              Terentiius,30,                      ,                                ,                               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
218,726,21,         ,                      M,              Aemilius,"             19, 67",                  ,                                (Lepidus) ,                     Patrician,    Certain,     Yes,                    Certain,     ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
218,726,22,         ,                      C,              Terentius,83,                      C.f. M.n.,                       Varro ,                         ,             ,            ,                       ,            C. Terentius,               ,                                                                                      ,               M. Terentius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               Y,                  Certain
218,727,23,         ,                      C,              Atilius,62,                      ,                                Serranus ,                      ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
217,727,        ,           ,                      T,              Otacilius,12,                      ,                                Crassus,                        ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
217,727,24,         ,                      M,              Pomponius,            ?,                       ,                                ,                               ,             ,            ,                       ,            ,                           M'. Pomponius (*5) Matho or M. Pomponius (*6) Matho,                                   ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
217,727,25,         ,                      M,              Aemilius,"             20, 128",                 ,                                (Regillus) ,                    Patrician,    Certain,     ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
217,727,26,         ,                      A,              Cornelius,257,                     ,                                Mamulla ,                       Patrician,    Certain,     ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
216,727,        ,           ,                      M,              Claudius,220,                     M.f. M.n.,                       Marcellus,                      ,             ,            Yes,                    Certain,     M. Claudius,                ,                                                                                      ,               M. Claudius,                            M. Claudius (219) Marcellus,                                       Certain,        ,                                                                   ,               ,                                                                  ,               ,
216,727,        ,           ,                      L,              Postumius,40,                      A.f. A.n.,                       Albinus,                        Patrician,    Certain,     Yes,                    Certain,     A. Postumius,               ,                                                                                      ,               A. Postumius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
216,727,        ,           ,                      M,              Pomponius,"            18, cf. 20",              ,                                Matho,                          ,             ,            Yes,                    Certain,     ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
216,727,        ,           ,                      P,              Furius,80,                      Sp.f. M.n.,                      Philus,                         Patrician,    Certain,     ,                       ,            Sp. Furius,                 ,                                                                                      ,               M. Furius,                              ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
215,727,        ,           ,                      M,              Valerius,211,                     P.f. P.n.,                       Laevinus,                       Patrician,    Certain,     Yes,                    Certain,     P. Valerius,                ,                                                                                      ,               P. Valerius,                            P. Valerius (213) Laevinus,                                        Certain,        ,                                                                   ,               ,                                                                  ,               ,
215,727,        ,           ,                      Q,              Fulvius,59,                      M.f. Q.n.,                       Flaccus,                        ,             ,            ,                       ,            M. Fulvius,                 M. Fulvius (55) Flaccus,                                                               Certain,        Q. Fulvius,                             ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
215,727,        ,           ,                      Q,              Mucius,19,                      P.f. ?.n.,                       Scaevola,                       ,             ,            ,                       ,            P. Mucius,                  ,                                                                                      ,               ?. Mucius,                              ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
ERROR: Incorrect data  727,        ,           ,                      Ap,             Claudius,293,                     P.f. Ap.n.,                      Pulcher,                        Patrician,    Certain,     Yes,                    Certain,     P. Claudius,                P. Claudius (304) Pulcher,                                                             Certain,        Ap. Claudius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,,
214,727,        ,           ,                      Q,              Fulvius,59,                      M.f. Q.n.,                       Flaccus,                        ,             ,            ,                       ,            M. Fulvius,                 ,                                                                                      ,               Q. Fulvius,                             ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
214,727,        ,           ,                      T,              Otacilius,12,                      ,                                Crassus,                        ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
214,727,        ,           ,                      Q,              Fabius,103,                     Q.f. Q.n.,                       Maximus ,                       Patrician,    Certain,     Yes,                    Certain,     Q. Fabius,                  Q. Fabius (116) Maximus Verrucosus,                                                    Certain,        Q. Fabius,                              ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
214,727,27,         ,                      P,              Cornelius,200,                     ,                                Lentulus ,                      Patrician,    Certain,     ,                       ,            ,                           L. Cornelius (211) Lentulus Caudinus or P. Cornelius (213) Lentulus Caudinus,          ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
