Date,                  Page,       Note Ref,   Assertion Type,         Praenomen,      Nomen,                RE,                       Filiation,                       Cognomen,                        Patrician,    Certainty,    Consular Ancestor,      Certainty,   Calculated Father,           Suggested Father,                                                                       Certainty,      Calculated Grandfather,                 Suggested Grandfather,                                              Certainty,      Brother,                                                            Certainty,      More Remote,                                                        Certainty,      Novus,              Novus Certainty     
208,728,32,         ,                      P,              Licinius,69,                      P.f. P.n.,                       Crassus Dives ,                 ,             ,            ,                       ,            P. Licinius,                ,                                                                                      ,               P. Licinius,                            ,                                                                  ,               ,                                                                   ,               C. Licinius (174 cf. 12) Varus,                                    Certain,        ,
208,728,        ,           ,                      P,              Licinius,175,                     ,                                Varus,                          ,             ,            Yes,                    Certain,     ,"                           C. Licinius (174, cf. 12) Varus",                                                       Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
208,728,        ,           ,                      Sex,            Iulius,147,                     ,                                Caesar,                         Patrician,    Certain,     ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               Iulii Iulli,                                                       Certain,        ,
208,728,33,         ,                      ,               Quinctius,            Claudius 151,            ,                                Claudus Flamininus,             ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       K. Quinctius (*19) Claudus,                                        Certain,        ,                                                                   ,               ,                                                                  ,               ,
207,728,        ,           ,                      L,              Porcius,22,                      (M.f.),                          Licinus,                        ,             ,            ,                       ,            M. Porcius,                 ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
207,728,        ,           ,                      C,              Hosilius,12,                      ,                                Cato,                           ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
ERROR: Incorrect data  728,        ,           ,                      C,              Mamilius,5,                       ,                                (Atellus),                      ,             ,            Yes,                    Certain,     ,                           C. Mamilius (11) Turrinus,                                                             Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,,
ERROR: Incorrect data  728,        ,           ,                      A,              Hostilius,10,                      ,                                Cato,                           ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,,
206,728,        ,           ,                      C,              Servilius,60,                      C.f. P.n.,                       (Geminus),                      ,             ,            Yes,                    Certain,     C. Servilius,               C. Servilius (59) (Geminus),                                                           Certain,        P. Servilius,                           P. Servilius (62) Geminus,                                         Certain,        ,                                                                   ,               ,                                                                  ,               ,
206,728,34,         ,                      M,              Caecilius,"            76, cf. 73",              ,                                Metellus ,                      ,             ,            Yes,                    Certain,     ,                           L. Caecilius (72) Metellus,                                                            Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
206,728,        ,           ,                      Ti,             Claudius,"             62, cf. 61",              ,                                Asellus,                        ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
206,728,        ,           ,                      Q,              Mamilius,13,                      ,                                Turrinus ,                      ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
205,728,        ,           ,                      Cn,             Servilius,44,                      Cn. f. Cn.n.,                    Caepio,                         Patrician,    Certain,     Yes,                    Certain,     Cn. Servilius,              ,                                                                                      ,               Cn. Servilius,                          Cn. Servilius (43) Caepio,                                         Certain,        ,                                                                   ,               ,                                                                  ,               ,
205,728,36,         ,                      L,              Aemilius,109,                     (L.f.),                          Papus,                          Patrician,    Certain,     Yes,                    Certain,     L. Aemilius,                L. Aemilius (108) Papus,                                                               Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
ERROR: Incorrect data  728,        ,           ,                      Sp,             Lucretius,13,                      ,                                ,                               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,,
ERROR: Incorrect data  728,35,         ,                      Cn,             Octavius,16,                      ,                                ,                               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,,
204,728,        ,           ,                      Ti,             Claudius,249,                     P.f. Ti.n.,                      Nero,                           Patrician,    Certain,     ,                       ,            P. Claudius,                ,                                                                                      ,               Ti. Claudius,                           ,                                                                  ,               ,                                                                   ,               Ap. Claudius (91) Caecus,                                          Certain,        ,
204,728,        ,           ,                      M,              Marcius,86,                      ,                                Ralla,                          ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               Q. Marcius (78) Philippus,                                         ,               ,
204,728,        ,           ,                      M,              Pomponius,19,                      ,                                Matho,                          ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
ERROR: Incorrect data  728,        ,           ,                      L,              Scribonius,16,                      ,                                Libo,                           ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,,
203,728,        ,           ,                      P,              Cornelius,214,                     ,                                Lentulus Caudinus,              Patrician,    Certain,     Yes,                    Certain,     ,                           L. Cornelius (211) Caudinus,                                                           Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
203,728,37,         ,                      P,              Quinctilius,12,                      ,                                Varus ,                         Patrician,    Certain,     ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               M. Quinctilius (*2) Varus,                                         Certain,        ,
ERROR: Incorrect data  728,38,         ,                      P,              Aelius,101,                     Q.f. P.n.,                       Paetus ,                        ,             ,            ,                       ,            Q. Aelius,                  ,                                                                                      ,               P. Aelius,                              ,                                                                  ,               ,                                                                   ,               P. Aelius (100) Paetus,                                            Certain,        ,,
ERROR: Incorrect data  729,        ,           ,                      P,              Villius,10,                      Ti.f. Ti.n.,                     Tappulus,                       ,             ,            ,                       ,            Ti. Villius,                ,                                                                                      ,               Ti. Villius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,,
202,729,        ,           ,                      M,              Sextius,35,                      ,                                Sabinus,                        ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
202,729,39,         ,                      Cn,             Tremelius,4,                       ,                                Flaccus ,                       ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
202,729,        ,           ,                      C,              Livius,29,                      M.f. M.n.,                       Salinator,                      ,             ,            Yes,                    Certain,     M. Livius,                  M. Livius (33) Salinator,                                                              Certain,        M. Livius,                              ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
202,729,        ,           ,                      C,              Aurelius,"             95, cf. 15",              C.f. C.n.,                       Cotta,                          ,             ,            ,                       ,            C. Aurelius,                ,                                                                                      ,               C. Aurelius,                            ,                                                                  ,               ,                                                                   ,               C. Aurelius (94) Cotta,                                            Certain,        ,
201,729,        ,           ,                      M,              Iunius,121,                     (M.f.),                          Pennus,                         ,             ,            ,                       ,            M. Iunius,                  ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
201,729,        ,           ,                      M,              Valerius,153,                     ,                                Falto,                          Patrician,    Certain,     Yes,                    Certain,     ,                           Q. Valerius (157) Falto or P. Valerius (155) Falto,                                    ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
201,729,40,         ,                      M,              Fabius,54,                      ,                                Buteo ,                         Patrician,    Certain,     Yes,                    Certain,     ,                           ,                                                                                      ,               ,                                       M. Fabius (53) Buteo,                                              Certain,        ,                                                                   ,               ,                                                                  ,               ,
201,729,41,         ,                      P,              Aelius,152,                     ,                                Tubero ,                        ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
200,729,42,         ,                      Q,              Minucius,"             22, 55",                  C.f. C.n.,                       Rufus ,                         ,             ,            ,                       ,            C. Minucius,                ,                                                                                      ,               C. Minucius,                            ,                                                                  ,               ,                                                                   ,               M. Minucius (52) Rufus,                                            Certain,        ,
200,729,        ,           ,                      L,              Furius,86,                      Sp.f. Sp.n.,                     Purpurio,                       Patrician,    Certain,     ,                       ,            Sp. Furius,                 ,                                                                                      ,               Sp. Furius,                             ,                                                                  ,               ,                                                                   ,               P. Furius (80) Philus,                                             Certain,        ,
200,729,        ,           ,                      Q,              Fulvius,69,                      ,                                Gillo,                          ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
200,729,43,         ,                      C,              Sergius,36,                      ,                                Plautus ,                       Patrician,    ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
199,729,44,         ,                      L,              Villius,9,                       (Ti.f. Ti.n.),                   Tappulus ,                      ,             ,            ,                       ,            Ti. Villius,                ,                                                                                      ,               Ti. Villius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
199,729,        ,           ,                      Cn,             Baebius,1,                       Q.f. Cn.n.,                      Tamphilius,                     ,             ,            ,                       ,            Q. Baebius,                 Q. Baebius (45) Tamphilus,                                                             ,               Cn. Baebius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
ERROR: Incorrect data  729,        ,           ,                      L,              Quinctius,43,                      T.f. L.n.,                       Flamininus ,                    Patrician,    Certain,     ,                       ,            T. Quinctius,               ,                                                                                      ,               L. Quinctius,                           ,                                                                  ,               ,                                                                   ,               K. Quinctius (*19) Claudus,                                        Certain,        ,,
ERROR: Incorrect data  729,        ,           ,                      L,              Valerius,173,                     P.f. L.n.,                       Flaccus,                        Patrician,    Certain,     Yes,                    Certain,     P. Valerius,                P. Valerius (181) Flaccus,                                                             Certain,        L. Valerius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,,
198,729,        ,           ,                      L,              Cornelius,270,                     L.f. ?.n.,                       Merula,                         Patrician,    Certain,     ,                       ,            L. Cornelius,               ,                                                                                      ,               ?. Cornelius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
198,729,        ,           ,                      M,              Porcius,9,                       M.f.,                            Cato,                           ,             ,            ,                       ,            M. Porcius,                 ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               Y,                  Certain
198,729,        ,           ,                      C,              Helvius,1,                       ,                                ,                               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
ERROR: Incorrect data  729,        ,           ,                      M,              Claudius,222,                     M.f. M.n.,                       Marcellus,                      ,             ,            Yes,                    Certain,     M. Claudius,                M. Claudius (220) Marcellus,                                                           Certain,        M. Claudius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,,
197,729,45,         ,                      L,              Manlius,93,                      (Cn.f. L.n.),                    Vulso ,                         Patrician,    Certain,     Yes,                    Certain,     Cn. Manlius,                Cn. Manlius (91) Vulso,                                                                Certain,        L. Manlius,                             L. Manlius (101) Vulso Longus,                                     Certain,        ,                                                                   ,               ,                                                                  ,               ,
197,729,        ,           ,                      M,              Sergius,40,                      ,                                Silus ,                         Patrician,    Certain,     ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               Sergii Fidenates,                                                  Certain,        ,
197,729,        ,           ,                      M,              Helvius,4,                       ,                                ,                               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
197,729,46,         ,                      L,              Acilius,              Atilius 16 = Acilius 7,  K.f.,                            (Sapiens) ,                     ,             ,            ,                       ,            K. Acilius,                 ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
ERROR: Incorrect data  729,        ,           ,                      C,              Sempronius,90,                      ,                                Tuditanus,                      ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               M. Sempronius (93) Tuditanus,                                      Certain,        ,,
ERROR: Incorrect data  729,        ,           ,                      M,              Minucius,53,                      ,                                Rufus ,                         ,             ,            Yes,                    Certain,     ,                           M. Minucius (52) Rufus,                                                                Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,,
196,730,        ,           ,                      Q,              Fabius,"               31, 57",                  ,                                Buteo,                          Patrician,    Certain,     Yes,                    Certain,     ,                           ,                                                                                      ,               ,                                       N. Fabius (55) Buteo or M. Fabius (53) Buteo,                      ,               ,                                                                   ,               ,                                                                  ,               ,
196,730,        ,           ,                      Ti,             Sempronius,67,                      Ti.f. C.n.,                      Longus,                         ,             ,            Yes,                    Certain,     Ti. Sempronius,             Ti. Sempronius (66) Longus,                                                            Certain,        C. Sempronius,                          ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
196,730,        ,           ,                      Q,              Minucius,65,                      Q.f. L.n.,                       Thermus ,                       ,             ,            ,                       ,            Q. Minucius,                ,                                                                                      ,               L. Minucius,                            ,                                                                  ,               ,                                                                   ,               Minucii Rufi,                                                      Certain,        ,
196,730,47,         ,                      M',             Acilius,35,                      C.f. L.n.,                       Glabrio ,                       ,             ,            ,                       ,            C. Acilius,                 ,                                                                                      ,               L. Acilius,                             ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               Y,
196,730,        ,           ,                      L,              Apustius,5,                       ,                                Fullo,                          ,             ,            Yes,                    Certain,     ,                           L. Apustius (4) Fullo,                                                                 Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
196,730,        ,           ,                      C,              Laelius,2,                       C.f. C.n.,                       ,                               ,             ,            ,                       ,            C. Laelius,                 ,                                                                                      ,               C. Laelius,                             ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
195,730,        ,           ,                      Ap,             Claudius,145,                     ,                                Nero,                           Patrician,    Certain,     ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               Ap. Claudius (91) Caecus,                                          Certain,        ,
195,730,        ,           ,                      C,              Fabricius,10,                      ,                                Luscinus ,                      ,             ,            ,                       ,            ,                           C. Fabricius (9) Luscinus,                                                             ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
195,730,        ,           ,                      P,              Manlius,31,                      ,                                ,                               Patrician,    ,            ,                       ,            ?,                          P. Manlius (98) Vulso,                                                                 Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
ERROR: Incorrect data  730,        ,           ,                      Cn,             Manlius,91,                      Cn.f. L.n.,                      Vulso,                          Patrician,    Certain,     Yes,                    Certain,     Cn. Manlius,                ,                                                                                      ,               L. Manlius,                             ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,,
ERROR: Incorrect data  730,        ,           ,                      P,              Porcius,19,                      ,                                Laeca,                          ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,,
ERROR: Incorrect data  730,48,         ,                      C,              Atinius,8,                       ,                                Laebo ,                         ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,,
194,730,49,         ,                      Cn,             Cornelius,74,                      ,                                Blasio ,                        Patrician,    Certain,     Yes,                    Certain,     ,                           ,                                                                                      ,               ,                                       Cn. Cornelius (73) Blasio,                                         Certain,        ,                                                                   ,               ,                                                                  ,               ,
194,730,51,         ,                      T,              Iuventius,32,                      (T.f.),                          Thalna,                         ,             ,            ,                       ,            T. Iuventius,               ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
ERROR: Incorrect data  730,        ,           ,                      P,              Cornelius,350,                     Cn.f. L.n.,                      Scipio Nasica,                  Patrician,    Certain,     Yes,                    Certain,     Cn. Cornelius,              Cn. Cornelius (345) Calvus,                                                            Certain,        L. Cornelius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,,
ERROR: Incorrect data  730,        ,           ,                      Cn,             Cornelius,265,                     ,                                Merenda ,                       Patrician,    Certain,     ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               Ser. Cornelius (267) Merenda,                                      Certain,        ,,
ERROR: Incorrect data  730,        ,           ,                      Cn,             Domitius,18,                      L.f. L.n.,                        Ahenobarbus,                   ,             ,            ,                       ,            L. Domitius,                ,                                                                                      ,               L. Domitius,                            ,                                                                  ,               ,                                                                   ,               Cn. Domitius (45) Maximus,                                         Certain,        ,,
ERROR: Incorrect data  730,50,         ,                      Sex,            Digitus,2,                       ,                                ,                               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               Y,                  Certain,
193,730,        ,           ,                      L,              Cornelius,337,                     P.f. L.n.,                       Scipio (Asiaticus),             Patrician,    Certain,     Yes,                    Certain,     P. Cornelius,               P. Cornelius (330) Scipio,                                                             Certain,        L. Cornelius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
