id,name,highest_office
123,Q. Servilius (77) Structus Priscus,cos. 468
124,Q. Fabius (165) M. f. K. n. Vibulanus,cos. 467
125,Sp. Postumius (52b) A. f. P. n. Albus Regillensis,cos. 466
126,A. Postumius (52a) A. f. P. n. Albus Regillensis,cos. 464
127,Sp. Furius (71) Medullinus Fusus,cos. 464
129,P. Servilius (73) Sp. f. P. n. Priscus,cos. 463
130,L. Aebutius (11) T. f. T. n. Helva,cos. 463
131,C. (Aemilius) (not in RE) Mamercus,dict.? 463
132,"M'. Valerius (67, cf. 243) (Maximus)",aug. before 462
133,L. Lucretius (28) T. f. T. n. Tricipitinus,cos. 462
134,T. Veturius (18) T. f. - n. Geminus Cicurinus,cos. 462
135,C. Terentilius (RE 5A. 591f.) Harsa,tr. pl. 462
136,Sex. Titius (22),tr. pl. 462
137,P. Volumnius (10) M. f. M. n. Amintinus Gallus,cos. 461
138,Ser. (or P.) Sulpicius (36) - f. Ser. n. Camerinus Cornutus,cos. 461
139,A. Verginius (3),tr. pl. 461
140,M. Volscius (2) Fictor,tr. pl. 461
141,C. Claudius (322) Ap. f. M. n. Crassus? Inregillensis Sabinus,cos. 460
142,L. Quinctius (27) L. f. L. n. Cincinnatus,cos. suff. 460
143,L. Cornelius (256) Ser. f. P. n. Maluginensis Uritinus,cos. 459
144,A. Cornelius (12),q. 459
145,"Q. Servilius (28, cf. 77) (Structus)? (Priscus)?",q. 459
146,-. (Furius?)? (3.1968) Carve(tus)?,cos. 458
147,L. Minucius (40) P. f. M. n. Esquilinus Augurinus,cos. suff. 458
148,"L. Tarquitius (6, cf. Tarquinius 10) L. f. Flaccus",mag. eq. 458
149,M. Valerius (246) M'. f. Volusi n. Maximus (Lactuca),cos. 456
151,Q. Minucius (41) P. f. M. n. Esquilinus,cos. a 457
152,M. Fabius (161) Vibulanus,cos. b 457
153,Sp. Verginius (20) A. f. A. n. Tricostus Caeliomontanus,cos. 456
154,L. Icilius (2),tr. pl. 456
155,L. Alienus (2),aed. pl. 454
156,T. Romilius (4) T. f. T. n. Rocus Vaticanus,cos. 455
157,C. Veturius (10) P. f. - n. Cicurinus,cos. 455
158,Sp. Tarpeius (4) M. f. M. n. Montanus Capitolinus,cos. 454
159,A. Aternius (RE 2.1923) Varus Fontinalis,cos. 454
160,C. Calvius (2) Cicero,tr. pl. 454
161,L. Siccius (3) Dentatus 'Achilles Romanus',tr. pl. 454
163,Sex. Quinctilius (15) Sex. f. P. n.,cos. 453
164,P. Curiatius (6) Fistus Trigeminus,cos. 453
165,C. (or M.) Horatius (13) M. f. M. n. Pulvillus,cos.? 477
166,T. Menenius (18) Agripp. f. Agripp. n. Lanatus,cos. 452
168,T. Genucius (12) L. f. L. n. Augurinus,cos. 451
169,Sp. Veturius (15) Crassus Cicurinus,father of Sp. Veturius (14) Sp. f. Sp. n. Crassus Cicurinus
170,L. Veturius (cf. 15) Crassus Cicurinus,X vir consul. imp. leg. scrib.? 451
172,P. Sestius (9) Q. f. V. n. Capito(linus)? (Vaticanus)?,cos. 452
173,M. Cornelius (246) - f. Ser. n. Maluginensis,son of L. Cornelius (256) Ser. f. P. n. Maluginensis Uritinus
174,M. Sergius (24) Esquilinus,X vir consul. imp. leg. scrib. 449
175,Q. Poetelius (4) Libo Visolus,X vir consul. imp. leg. scrib. 449
176,T. Antonius (78) Merenda,X vir consul. imp. leg. scrib. 449
177,K. Duillius (4) (Longus)?,X vir consul. imp. leg. scrib. 449
178,Sp. Oppius (27) Cornicen,X vir consul. imp. leg. scrib. 449
179,M'. Rabuleius (2),X vir consul. imp. leg. scrib. 449
180,L. Valerius (304) P. f. P. n. Potitus Potitus,cos. 449
181,M. Horatius (8) M. f. L. (or P.) n. (Tu)rrinus? Barbatus,cos. 449
182,C. Apronius (1),tr. pl. 449
183,P. Numitorius (4),tr. pl. 449
184,C. Oppius (7),tr. pl. 449
185,M. Pomponius (6),tr. pl. 449
186,C. Sicinius (5),tr. pl. 449
187,M. Titinius (10),tr. pl. 449
188,L. Verginius (7),tr. pl. 449
189,Ap. Villius (1),tr. pl. 449
191,Sex. Manilius (15),tr. mil. 449
192,M. Oppius (13),tr. mil. 449
193,"Q. Furius (24, cf. 76) (Pacilus)? (Fusus)?",pont. before 448
194,"M. Papirius (21, cf. 47) (Crassus)?",pont. before 448
195,Lars (or Sp.) Herminius (1) Coritinesanus,cos. 448
196,T. Verginius (23) Tricostus Caeliomontanus,cos. 448
197,A. Aternius (1) (Varus Fontinalis),tr. pl. before 447
198,L. Trebonius (9) Asper,tr. pl. 448
199,M. Geganius (4) M. f.  Macerinus,cos. 447
200,C. Iulius (13) (Iullus)?,cos. 447
201,Agr. Furius (59) Fusus,cos. 446
203,"Mam. Aemilius (16, 97) M. f. Mamercinus",q. 446
205,M. Genucius (11) Augurinus,cos. 445
206,C. (or Agr.) Curtius (15) Philo (or Chilo),cos. 445
207,C. Canuleius (2),tr. pl. 445
208,C. Furnius (2),tr. pl. 445
209,A. Sempronius (21) (A. f. - n.) Atratinus,brother of L. Sempronius (25) A. f. - n. Atratinus
210,L. Atilius (41) Luscus,tr. mil. c. p. 444
211,T. Cloelius (12) Siculus,III vir col. deduc. 442
212,L. Papirius (65) Mugillanus,cos. suff. 444
213,L. Sempronius (25) A. f. - n. Atratinus,cos. suff. 444
214,M. Fabius (162) (Q. f. M. n.) Vibulanus,cos. 442
215,Post. Aebutius (14) Helva Cornicen,cos. 442
216,-. Poetelius (1),tr. pl. before 441
218,M. Aebutius (12) Helva,III vir col. deduc. 442
219,C. Furius (76) Pacilus Fusus,cos. 441
220,M. (or M'.) Papirius (47) Crassus,cos. 441
222,Proc. Geganius (6) Macerinus,cos. 440
223,"L. Menenius (16, cf. 10 and 18) T. f. Agripp. n. Lanatus",cos.? 440
224,M'. Marcius (17),aed. pl. 440
226,C. Servilius (32) Ahala,mag. eq. 439
227,Q. Caecilius (19),tr. pl. 439
228,Q. Iunius (29),tr. pl. 439
229,Sex. Titinius (18),tr. pl. 439
231,L. Quinctius (28) L. f. L. n. Cincinnatus,cos. b 428
233,C. Fulcinnius (1),leg. amb. 438
234,Tullus Cloelius (6),leg. amb. 438
235,Sp. Antius (6),leg. amb. 438
236,L. Roscius (4),leg. amb. 438
237,L. Sergius (25) C. f. C. n. Ser.? Fidenas,cos. 437
238,M. Valerius (206) M. f. M'. n. Lactuca (or Lactucinus) Maximus,cos. suff. 437
239,A. Cornelius (112) M. f. L. n. Cossus,cos. a 428
240,"L. Papirius (10, 43) Crassus",cos. 436
241,M. Cornelius (247) (M. f. L. n.) Maluginensis,cos. 436
242,Sp. Maelius (3),tr. pl. 436
243,L. Verginius (14) Tricostus,cos.? 435
244,Q. Servilius (75) P. f. Sp. n. Ser.? Priscus Fidenas,aug.? 387
245,M. Manlius (50) Capitolinus (Vulso)?,cos. b 434
246,Q. Sulpicius (37) Ser. ? f. - n. Camerinus Praetextatus,cos. b 434
247,Ser. Cornelius (121) Cossus,tr. mil. c. p. 434
249,A. Postumius (63) Tubertus,dict. 431
251,L. Pinarius (11) Mamercinus,tr. mil. c. p. 432
252,L. Furius (65) Sp. f. - n. Medullinus,cos. 413
254,T. Quinctius (34) L. f. L. n. Poenus Cincinnatus,cos. 431
255,Cn. (or C.) Iulius (360) Mento,cos. 431
258,Sp. Postumius (52) Sp.? f. A.? n. Albus (Regillensis),leg. lieut. 431
259,"A. Cornelius (113, cf. 112) (Cossus)?",pont. 431
260,"C. Papirius (see 10, 43) Crassus",cos.? 430
261,"L. (or C.) Iulius (296, cf. 14) Vop. f. C. n. Iullus",cos. 430
262,"L. Papirius (13, cf. 65)",cens. 430
263,P. Pinarius (5),cens. 430
264,Hostus Lucretius (27) Tricipitinus,cos. 429
265,"A. Sempronius (222, cf. 2) (L. f. A. n. Atratinus)",cos. b 428
266,C. Servilius (37) Structus Ahala,cos. 427
267,L. Papirius (cf. 65) (L. f. - n.) Mugillanus,cos. 427
268,M. Postumius (17) (A. f. A. n.) (Albinus) (Regillensis),tr. mil. c. p. 426
269,"A. Sempronius (22, cf. 2) L. f. A. n. Atratinus",tr. mil. c. p. 416
270,L. Horatius (7) M. f. M. n. Barbatus,tr. mil. c. p. 425
271,Ap. Claudius (121) Ap. f. Ap. n. Crassus,tr. mil. c. p. 424
272,Sp. Nautius (9) Sp. f. - n. Rutilus,tr. mil. c. p. 424
273,Sex. Iulius (300) Iullus,tr. mil. c. p. 424
274,C. Sempronius (24) Atratinus,cos. 423
275,"Q. Fabius (46, 166) Q. f. M. n. Vibulanus",cos. 423
276,C. Iunius (12),tr. pl. 423
277,Sex. Tempanius (1),tr. pl. 422
278,L. Manlius (49) Capitolinus,tr. mil. c. p. 422
279,Q. Antonius (77) (T. f. - n.) Merenda,tr. mil. c. p. 422
280,Ti. Antistius (21),tr. pl. 422
281,M. Asellius (not in RE),tr. pl. 422
282,Ti. Spurillius (Col. 1888),tr. pl. 422
283,L. Hortensius (3),tr. pl. 422
285,T. Quinctius (25) T. f. L. n. Capitolinus Barbatus,cos. 421
286,M. Manlius (96) Vulso,nephew of A. Manlius (89) (Cn. f. P. n.) Vulso
287,A. Antistius (not in RE),tr. pl. 420
288,Sex. Pompilius (2),tr. pl. 420
289,M. Canuleius (9),tr. pl. 420
290,Sp. Minucius (28),pont. 420
291,Postumia (66),son of A. Postumius (63) Tubertus
292,"Agr. Menenius (4, 13, 14) T. f. Agripp. n. Lanatus",cos. 439
293,P. Lucretius (29) Hosti f. - n. Tricipitinus,tr. mil. c. p. 417
294,Sp. Nautius (10) Sp. f. Sp. n. Rutilus,cos. 411
295,M. Papirius (68) L. f. - n. Mugillanus,tr. mil. c. p. 416
296,Sp. Rutilius (14) Crassus,tr. mil. c. p.? 417
297,Sp. Veturius (14) Sp. f. Sp. n. Crassus Cicurinus,tr. mil. c. p.? 417
298,Sp. Maecilius (1),tr. pl. 416
299,M. Metilius (7),tr. pl. 416
300,P. Cornelius (118) A. f. P. n. Cossus,tr. mil. c. p. 415
301,C. Valerius (309) L. f. Volusi n. Potitus Volusus,cos. 410
303,Q. Quinctius (30) L. f. L. n. Cincinnatus,son of L. Quinctius (27) L. f. L. n. Cincinnatus
304,L. Decius (not in RE),tr. pl. 415
305,Cn. Cornelius (116) A. f. M. n. Cossus,cos. 409
306,L. Valerius (307) L. f. P. n. Potitus,cos. 393
307,"P. Postumius (60, cf. 1, 51) A. f. A. n. Albinus Regillensis",tr. mil. c. p. 414
308,M. Sextius (7),tr. pl. 414
309,P. Sextius (Sestius 5),q. 414
310,"A. (or M.) Cornelius (113, cf. 112, 114) Cossus",cos. 413
311,"Q. Fabius (166, cf. 46) Vibulanus",son of Q. Fabius (165) M. f. K. n. Vibulanus
312,C. Furius (74) Pacilus,cos. 412
313,L. Icilius (3),tr. pl. 412
314,"M. Papirius (30, 68) L. f.  Mugillanus (or Atratinus)?",cos. 411
316,M'. Aemilius (98) Mam. f. M. n. Mamercinus,cos. 410
317,M. Menenius (8),tr. pl. 410
319,"-. Icilius (RE 850f., and no. 3)",tr. pl. before 408
320,-. Icilius (RE 850f. and no. 3),tr. pl. before 408
321,P. Aelius (9),q. 409
322,"K. Fabius (42, cf. 39, 48) M. f. Q. n. Ambustus",q. 409
323,P. Papius (Pupius 9),q. 409
324,Q. Silius (10),q. 409
325,C. Iulius (295) Sp. f. Vopisci n. Iullus,cens. 393
326,P. Cornelius (119) A. f. M. n. Cossus,son of A. Cornelius (112) M. f. L. n. Cossus
327,C. Servilius (33) P. f. Q. n. Ahala,tr. mil. c. p. 402
328,P. Cornelius (307) M. f. L. n. Rutilus Cossus,son of M. Cornelius (246) - f. Ser. n. Maluginensis
329,N. (or Cn.) Fabius (163) Q. f. M. n. Vibulanus,cos. 421
330,Cn. Cornelius (117) P. f. A. n. Cossus,son of? P. Cornelius (118) A. f. P. n. Cossus
332,A. Manlius (100) A. f. Cn. n. Vulso Capitolinus,brother of Q. Manlius (99) A. f. Cn. n. Vulso (Capitolinus)?
333,M'. Sergius (27) L. f. L. n. Fidenas,tr. mil. c. p. 402
334,"P. Cornelius (250, cf. 39) (M. f. M. n.) Maluginensis",son of M. Cornelius (247) (M. f. L. n.) Maluginensis
335,Ap. Claudius (122) P. f. Ap. n. Crassus Inregillensis,cos. a 349
336,M. Quinctilius (9) L. f. L. n. Varus,son of L. Quinctilius (7)
337,L. Iulius (297) Sp. ? f. Vopisci ? n. Iullus,tr. mil. c. p. 403
338,M. Furius (60) Fusus,cens. before 388
340,M. Furius (44) L. f. Sp. n. Camillus,dict. 367
341,M. Postumius (16) A. f. A. n. Albinus Regillensis,tr. mil. c. p. before 402
342,Q. Servilius (56) Q. f. P. n. Fidenas,tr. mil. c. p. 386
343,L. Verginius (15) L. f. Opet. n. Tricostus Esquilinus,son of L. Verginius (14) Tricostus
344,Q. Sulpicius (34) Ser. f. Ser. n. Camerinus Cornutus,son of Ser. Sulpicius (not in RE) Camerinus Cornutus
345,Capitos Clodius (not in RE),tr. mil. c. p.? 402
346,M. Ancus (not in RE),tr. mil. c. p.? 402
347,L. Iulius (298) L. f. Vopisci n. Iullus,tr. mil. c. p. 397
348,M. Acutius (1),tr. pl. 401
349,P. Curiatius (4),tr. pl. 401
350,C. Lacerius (col. 327),tr. pl. 401
351,M. Metilius (8),tr. pl. 401
352,M. Minucius (19),tr. pl. 401
353,Cn. Trebonius (8),tr. pl. 401
354,P. Licinius (43) P. f. P. n. Calvus Esquilinus,tr. mil. c. p. 396
355,P. Manlius (97) M. f. Cn. n. Vulso,son of M. Manlius (96) Vulso
356,L. Titinius (25) L. f. M'. n. Pansa Saccus,tr. mil. c. p. 396
357,P. Maelius (4) Sp. f. C. n. Capitolinus,tr. mil. c. p. 396
358,Sp. Furius (68) L. f. Sp. n. Medullinus,tr. mil. c. p. 400
359,L. Publilius (13) L. f. Voler. n. Philo Vulscus,tr. mil. c. p. 400
360,Cn. Genucius (10) M. f. M. n. Augurinus,tr. mil. c. p. 396
361,L. Atilius (46) L. f. L. n. Priscus,tr. mil. c. p. 396
362,M. Pomponius (7) L. f. L. n. Rufus,tr. mil. c. p. 399
363,C. Duillius (8) K. f. K. n. Longus,tr. mil. c. p. 399
364,M. Veturius (13) Ti. f. Sp. n. Crassus Cicurinus,grandson of? Sp. Veturius (15) Crassus Cicurinus
365,Voler. Publilius (12) P. f. Voler. n. Philo,tr. mil. c. p. 399
366,M. Valerius (207) M. f. M. n. Lactucinus Maximus,son of M. Valerius (206) M. f. M'. n. Lactuca (or Lactucinus) Maximus
367,-. Claudius (not in RE) Ugo,tr. mil. c. p.? 398
368,-. Marius (not in RE) Appius,tr. mil. c. p.? 398
371,L. Sergius (26) M'. f. L. n. Fidenas,leg. amb. 394
372,A. Postumius (57) Albinus Regillensis,tr. mil. c. p. 381
373,P. Cornelius (252) P. f. M. n. Maluginensis,cos.? 393
374,Q. Manlius (99) A. f. Cn. n. Vulso (Capitolinus)?,nephew of M. Manlius (96) Vulso
375,P. Cornelius (120) P. f. A. n. Cossus,tr. mil. c. p.? 394
376,P. Cornelius (328) Scipio,interrex 389
377,T. Scinius (14),tr. pl. 395
378,Q. Pomponius (13),tr. pl. 395
379,A. Verginius (4),tr. pl. 395
380,C. Aemilius (not in RE) Ti. f. Ti. n. Mamercinus,tr. mil. c. p. 391
381,L. Valerius (298) L. f. L. n. Poplicola,son of L. Valerius (307) L. f. P. n. Potitus
382,Sp. Postumius (61) Albinus Regillensis,cens. 380
383,P. Cornelius (39),
384,-. Catlus (not in RE) Verus,tr. mil. c. p.? 394
385,T. Sicinius (14),tr. pl. 394
387,L. Lucretius (20) Tricipitinus Flavus,cos. suff. 393
388,"Ser. Sulpicius (31, cf. 94) Q. f. Ser. n. Camerinus Rufus",cos. suff. 393
389,L. Papirius (51) (- f. - n. Cursor),tr. mil. c. p. 385
390,M. Cornelius (248) P. f. M. n. Maluginensis,"son of P. Cornelius (250, cf. 39) (M. f. M. n.) Maluginensis"
391,M. Manlius (51) T. f. A. n. Arn.? Sab.? Ste.? Tro.? Capitolinus,cos. 392
393,Agr. Furius (7) Sex. f. - n. Fusus?,tr. mil. c. p. 391
394,L. Appuleius (10),tr. pl. 391
395,Sp. Carvilius (4),q. 391
396,Q. Fabius (48) M. f. Q. n. Ambustus,tr. mil. c. p. 390
400,N. Fabius (45) M. f. Q. n. Ambustus,son of M. Fabius (162) (Q. f. M. n.) Vibulanus
401,Q. Sulpicius (76) Longus,son of Q. Sulpicius (37) Ser. ? f. - n. Camerinus Praetextatus
402,"M. Folius (1, cf. 2) M. f. (Flaccinator)?",pont. before 389
403,C. (or K.) Fabius (68) Dorsuo,pont. before 389
405,P. Cornelius (40),tr. mil. c. p. 389
406,A. Manlius (9) (T. f. A. n. Capitolinus),son of T. Manlius (A) Capitolinus
407,L. Aemilius (93) Mam. f. M. n. Mamercinus,tr. mil. c. p. 380
408,L. Postumius (58) Albinus Regillensis,tr. mil. c. p. 381
409,L. Papirius (66) Mugillanus,tr. mil. c. p. 376
410,M. Furius (not in RE),tr. mil. c. p.? before 388
411,"C. Servilius (34, cf. 22) Ahala",mag. eq. 389
413,Cn. Marcius (12),tr. pl. 389
414,L. Furius (41) M. f. L. n. Camillus,cos. a 349
415,T. Quinctius (32) (T. f. L. n.) Cincinnatus Capitolinus,son of T. Quinctius (34) L. f. L. n. Poenus Cincinnatus
416,L. Iulius (299) Iullus,tr. mil. c. p. 379
417,L. Aquillius (15) Corvus,tr. mil. c. p. 388
418,"Ser. Sulpicius (94, cf. 31) Rufus",tr. mil. c. p.? 377
419,Cn. Sergius (28) Fidenas Coxo,tr. mil. c. p. 380
420,Licinus Menenius (15) T. f. T. n. Lanatus,tr. mil. c. p. 376
421,L. Quinctius (10),tr. mil. c. p. before 386
422,L. Cornelius (27) -? -?,tr. mil. c. p.? 387
423,A. Mallius (Manlius) (not in RE),tr. mil. c. p.? 387
424,-. Fabius (not in RE),tr. mil. c. p.? 387
425,L. Sicinius (10),tr. pl. 387
426,Ser. Cornelius (254) P. f. M. n. Maluginensis,cos.? 393
427,L. Quinctius (29) (- f. - n.) Cincinnatus,son of L. Quinctius (28) L. f. L. n. Cincinnatus
428,L. Horatius (14) Pulvillus,tr. mil. c. p. 386
429,P. Valerius (308) L. f. L. n. Potitus Poplicola,son of L. Valerius (307) L. f. P. n. Potitus
430,"P. Cornelius (40, cf. 54)",tr. mil. c. p. 385
432,"A. Cornelius (114, cf. 112, 113) Cossus",dict. 385
433,C. Papirius (42) Crassus,tr. mil. c. p. 384
434,M. Menenius (9),tr. pl. 384
435,Q. Publilius (8),tr. pl. 384
436,M. Trebonius (10),tr. mil. c. p. 383
437,-. Fabius (not in RE),tr. mil. c. p.? 383
438,Sp. Papirius (49) Crassus,tr. mil. c. p. 382
440,Q. Servilius (57) Q. f. Q. n. Fidenas,tr. mil. c. p. 369
441,"C. Sulpicius (7, cf. 29) (Camerinus)",tr. mil. c. p. 382
442,-. Fabius (not in RE) Albus,tr. mil. c. p.? 382
443,L. Furius (66) Sp. f. L. n. Medullinus,cens. 363
444,M. Fabius (43) K. f. M. n. Ambustus,"son of K. Fabius (42, cf. 39, 48) M. f. Q. n. Ambustus"
445,C. Sulpicius (83) M. f. Q. n. Peticus,cos. 364
446,Ti. Papirius (50) Crassus,tr. mil. c. p. 380
448,A. Sempronius (23) Atratinus,mag. eq. 380
449,"C. Sulpicius (29, cf. 7) Camerinus",cens. 380
450,P. Manlius (52) A. f. A. n. Capitolinus,son of A. Manlius (100) A. f. Cn. n. Vulso Capitolinus
451,C. Manlius (48),tr. mil. c. p. 379
452,C. Sextilius (6),tr. mil. c. p. 379
453,M. Albinius (3) -,tr. mil. c. p. 379
454,L. Antistius (11) -,tr. mil. c. p. 379
455,P. Trebonius (11),tr. mil. c. p. 379
456,C. Erenucius (col. 419) -,tr. mil. c. p. 379
457,Sp. (or L.) Furius (29),tr. mil. c. p. 378
458,P. Cloelius (8) Siculus,tr. mil. c. p. 378
459,M. Horatius (5) - f. - n. - - -,tr. mil. c. p. 378
460,L. Geganius (2) (Macerinus),tr. mil. c. p. 378
461,Sp. Servilius (74) Priscus,cens. 378
462,Q. Cloelius (11) Siculus,cens. 378
464,C. Veturius (11) (L. f. Sp. n.) (Crassus)? (Cicurinus),tr. mil. c. p. 369
