id,name,highest_office
1024,L. Aemilius (109) Papus,pr. 205
1025,M. Iunius (121) Pennus,pr. 201
1026,Q. Pleminius (2),leg. lieut.? 205
1027,P. Matienus (5),tr. mil. 205
1028,C. Octavius (13) Sca.?,Eques uncertain date
1029,M. Sergius (19),tr. mil. 205
1031,Ti. Veturius (22) L. f. L. n. Philo,flam. Martial. after 205
1032,Ti. Claudius (249) P. f. Ti. n. Nero,cos. 202
1033,M. Marcius (86) Ralla,pr. 204
1034,P. Villius (10) Ti. f. Ti. n. Tappulus,cos. 199
1035,Cn. Baebius (41) Q. f. Cn. n. Tamphilus,cos. 182
1036,M. Cincius (6) Alimentus,tr. pl. 204
1037,-. Licinius (4),tr. pl. before 203
1038,M. Silius (5),tr. pl. before 203
1039,P. Silius (6),tr. pl. before 203
1041,P. Quinctilius (12) P. f. Varus,pr. 203
1042,M. Fabius (54) Buteo,pr. 201
1043,M. Sextius (35) Qui.? Ser.? Sabinus,pr. 202
1045,M. Cosconius (7),tr. mil. 203
1046,C. Helvius (1),pr. 198
1047,M. Maevius (4),tr. mil. 203
1049,L. Sergius (11),leg. env. 1  203
1050,L. Fabius (21),leg. env. 1  203
1051,Q. Fulvius (69) Gillo,pr. 200
1052,"L. Baebius (14, 25) Dives",pr. 189
1053,Q. Fabius (104) Q. f. Q. n. Maximus,son of Q. Fabius (103) Q. f. Q. n. Maximus
1054,"C. Aurelius (95, cf. 15) C. f. C. n. Cotta",cos. 200
1055,"Q. Fulvius (25, cf. 69) (Gillo)",aed. cur. 202
1056,L. Licinius (101) Lucullus,aed. cur. 202
1057,P. Aelius (152) Tubero,pr. 201
1058,L. Laetorius (7),aed. pl. 202
1060,C. Sulpicius (49) Galba,son of P. Sulpicius (64) Ser. f. P. n. Galba Maximus
1062,"Q. Minucius (22, 55) C. f. C. n. Rufus",cos. 197
1063,M'. Acilius (35) C. f. L. n. Glabrio,cos. 191
1064,Q. Minucius (65) Q. f. L. n. Thermus,cos. 193
1065,C. Cornelius (88) L. f. M. n. Cethegus,cos. 197
1067,M. Aemilius (68) M. f. M. n. Lepidus,cos. 187
1069,C. Ampius (not in RE),praef. 201
1070,P. Servilius (23),X vir agr. assig. 200
1071,L. Hostilius (12) Cato,brother of A. Hostilius (10) (Cato)?
1072,M. Fulvius (56) Flaccus,tr. pl. 198
1073,C. Sergius (36) Plautus,pr. 200
1074,Sex. Aelius (105) Q. f. P. n. Paetus Catus,cos. 198
1075,L. Terentius (58) Massiliota,pr. 187
1076,Q. Baebius (20),tr. pl. 200
1077,P. Cornelius (350) Cn. f. L. n. Scipio Nasica,cos. 191
1079,C. Claudius (105) Centho,son of? C. Claudius (104) Ap. f. C. n. Centho
1080,M. Caecilius (15),leg. lieut. b 200
1081,"M. Furius (20, 56) C. f. Crassipes",pr. 187
1082,P. Titinius (16),leg. lieut. b 200
1084,P. Porcius (19) Pap.? Laeca,pr. 195
1085,Cn. Cornelius (74) Blasio,pr. 194
1086,L. Stertinius (5),procos. 196
1087,"L. Furius (87, 86) Purpurio",leg. env. 199
1088,"L. Apustius (2,  5) (Fullo)",pr. 196
1090,Cn. Cornelius (346) Cn. f. L. n. Scipio Hispallus,cos. 176
1091,L. Cornelius (270) L. f. Merula,cos. 193
1092,C. Sempronius (90) Tuditanus,pr. 197
1093,M. Helvius (4),pr. 197
1094,M'. Curius (4),tr. pl. 198
1095,Ap. Claudius (245) Nero,pr. 195
1096,L. Calpurnius (13),leg. env. 1  198
1097,"Q. Fabius (31, 57) (Buteo)?",pr. 196
1098,"Q. Fulvius (26, 60) Flaccus",leg. env. 2 198
1099,L. Atilius (16),pr. 197
1100,L. Manlius (93) Vulso,pr. 197
1101,M. Minucius (53) Rufus,pr. 197
1102,M. Sergius (40) Silus,pr. 197
1103,Cn. Manlius (91) Cn. f. L. n. Vulso,cos. 189
1104,Q. Fulvius (28),tr. pl. 197
1105,L. Oppius (32) Salinator,pr. 191
1106,T. Iuventius (9) (Thalna)?,father of T. Iuventius (32) Thalna
1107,Cn. Ligurius (2),tr. mil. 197
1108,Q. Fabius (57) M. f. Buteo,pr. 196
1109,M. Fulvius (91) M. f. Ser. n. Nobilior,cos. 189
1110,Cn. Domitius (18) L. f. L. n. Ahenobarbus,cos. 192
1111,C. Scribonius (8) Curio,pr. 193
1113,C. Atinius (8) Hor. Labeo,pr. 195
1114,C. Licinius (99) Lucullus,tr. pl. 196
1115,Q. Marcius (87) Ralla,tr. pl. 196
1116,L. Aurelius (18),q. 196
1117,Q. Fabius (91) Q. f. Q. n. Labeo,cos. 183
1118,Ap. Claudius (294) Ap. f. P. n. Pulcher,cos. 185
1119,P. Claudius (28),tr. mil. 196
1121,"M. Caecilius  (73, 76, Supb. 3.222) L. f. Metellus",leg. amb. 2? 196
1123,M. Iunius (168) Silanus,son of M. Iunius (167) Silanus
1124,T. (or Ti.) Sempronius (60) Gracchus,praef. 196
1125,C. Claudius (300) Ap. f. P. n. Pulcher,cos. 177
1126,P. Manlius (31) (Vulso)?,pr. 195
1127,C. Fabricius (10) Luscinus,pr. 195
1128,"P. Manlius (31, cf. Manilius 2) (Vulso)?",pr. 195
1129,C. Publicius (15) Bibulus,aed. pl. before 194
1130,M. Fundanius (3),tr. pl. 195
1131,M. Iunius (48) M. f. L. n. Brutus,cos. 178
1132,P. Iunius (54) Brutus,pr. 190
1133,L. Valerius (350) C. f. Tappo,pr. 192
1134,L. Aemilius (114) L. f. M. n. Paullus Macedonicus,cos. 182
1135,Q. Terentius (43) Culleo,pr. 187
1137,Cn. Cornelius (265) Merenda,pr. 194
1138,Sex. Digitius (2),pr. 194
1139,T. Iuventius (32) Thalna,pr. 194
1140,A. Atilius (60) C. f. C. n. Serranus,cos. 170
1141,L. Scribonius (17) Libo,pr. 192
1143,L. Postumius (65) Tympanus,q. 194
1145,M. Atinius (5),praef. 194
1146,P. Sempronius (11),praef. 194
1147,Q. -? (?),III vir col. deduc. a 194
1148,C. Salonius (*2),III vir col. deduc. a 194
1149,D. Iunius (45) Brutus,III vir col. deduc. b 194
1151,A. Manlius (90) Cn. f. L. n. Vulso,cos. 178
1152,Q. Aelius (153) Tubero,tr. pl. 193
1154,L. Porcius (23) L. f. M. n. Pap.? Licinus,cos. 184
1157,M. Sempronius (95) M. f. C. n. Tuditanus,cos. 185
1158,P. Minucius (21),tr. mil. 193
1160,M. Genucius (7),tr. mil. 193
1161,M. Marcius (21),tr. mil. 193
1162,Q. Marcius (21),tr. mil. 193
1163,"M. Baebius (44, cf. 1, 16) Q. f. Cn. n. Tamphilus",cos. 181
1164,M. Fulvius (44) Centumalus,pr. 192
1165,Q. Salonius (*3) Sarra,pr. 192
1166,M. Tuccius (5),pr. 190
1167,C. Titinius (5),tr. pl. 192
1168,"M. Titinius (20, cf. 12, 13) Curvus",pr. 178
1169,A. Cornelius (258) Mammula,pr. 191
1170,Sp. Postumius (44) L. f. A. n. Albinus,cos. 186
1171,P. Sempronius (31) Blaesus,tr. pl. 191
1172,A. Postumius (46) A. f. A. n. Albinus? (Luscus),cos. 180
1173,C. Sulpicius (66) C. f. C. n. Galus,cos. 166
1174,Sex. Orfidienus (col. 1019),praef.? 191
1175,L. Aemilius (127) Regillus,pr. 190
1176,C. Atinius (9) Hor. Labeo,pr. 190
1177,L. Aurunculeius (4),pr. 190
1178,Cn. Fulvius (12),pr. 190
1179,C. Furius (31) Aculeo,q. 190
1180,M. Aemilius (69) Lepidus,son of M. Aemilius (68) M. f. M. n. Lepidus
1181,Q. Antonius (33),leg. env. a 190
1182,Ti. Sempronius (53) P. f. Ti. n. Gracchus,cos. 177
1183,A. Terentius (80) Varro,pr. 184
1184,M. Claudius (204) Lepidus,leg. env. c 190
1185,M. Aemilius (129) (Regillus)?,son of? M. Aemilius (128) Regillus
1186,L. Aemilius (138) Scaurus,grandfather of? M. Aemilius (140) M. f. L. n. Cam. Scaurus
1187,M. Atilius (68) Serranus,pr. 174
1188,Q. Fabius (127) Q. f. Pictor,pr. 189
1190,L. Plautius (19) Hypsaeus,pr. 189
1191,P. Claudius (305) Ap. f. P. n. Pulcher,cos. 184
1192,Ser. Sulpicius (57) Galba,pr. 187
1193,A. Caecilius (10),aed. pl. 189
1194,Q. Fulvius (60) Cn. f. M. n. Flaccus,cos. suff. 180
1195,P. Sempronius (49) Gracchus,tr. pl. 189
1196,C. Sempronius (81) Rutilus,tr. pl. 189
1197,Cn. Cornelius (268) Merula,leg. amb.? 188
1198,M. Aurelius (104) Cotta,leg. env. 189
1200,C. Valerius (208) M. f. P. n. Laevinus,cos. suff. 176
1201,M. Valerius (252) M. f. M'. n. Messalla,cos. 188
1204,L. Manlius (47) L. f. L. n. Acidinus Fulvianus,cos. 179
1205,Q. Marcius (79) L. f. Q. n. Philippus,cos. 186
1206,C. Stertinius (4),pr. 188
1207,C. Valerius (349) Tappo,tr. pl. 188
1208,"Q. Fabius (32, 58) (Buteo)",pr. 181
1209,Q. Fabius (105) Maximus,pr. 181
1211,Q. Terentius (53) Culleo,pr. 187
1212,P. Cornelius (95) L. f. P. n. Cethegus,cos. 181
1213,M. Furius (63) Luscus,aed. pl. 187
1214,C. Sempronius (30) Blaesus,pr. 184
1215,M. Aburius (2),pr. 176
1216,L. Mummius (7),pr. 177
1217,Q. Mummius (11),tr. pl. 187
1218,Q. Petillius (4),tr. pl. 187
1219,"Q. Petillius (11, cf. 4) C. f. Q. n. Spurinus",cos. 176
1220,"C. Atinius (1, 2)",pr. 188
1221,C. Aurelius (213) Scaurus,pr. 186
1222,C. Calpurnius (62) C. f. C. n. Piso,cos. 180
1223,P. Cornelius (384) Sulla,pr. 186
1224,"M. Licinius (1?, 108) Lucullus",pr. 186
1225,T. Maenius (15),pr. 186
1226,L. Quinctius (37) Crispinus,pr. 186
1227,C. Afranius (15) Stellio,pr. 185
1228,"C. Atilius (63, cf. 60) Serranus",pr. 185
1229,"M. Claudius (223, 224) M. f. M. n. Marcellus",cos. 183
1231,L. Postumius (62) Tempsanus,pr. 185
1232,M. Valerius (210) Laevinus,pr. 182
1233,L. Pupius (5),pr. 183
1234,Cn. Sicinius (8),pr. 183
1235,Ti. Claudius (250) Nero,pr. 181
1236,L. Iuventius (29) Thalna,leg. env. 184
1237,T. Quinctilius (18) Varus,son of? P. Quinctilius (12) P. f. Varus
1238,P. Cornelius (96) Cethegus,pr. 184
1239,C. Decimius (9) Flavus,pr. 184
1240,"Q. Naevius (4, 16) Matho",pr. 184
1241,P. Sempronius (65) Longus,pr. 184
1242,Q. Fulvius (61) Q. f. M. n. Flaccus,cos. 179
1243,M. Caelius (10),tr. pl. before 183
1244,C. Fannius (6),tr. pl. 184
1245,C. Minucius (30) Augurinus,tr. pl. 184
1246,M. Naevius (3),tr. pl. 184
1247,M. Fulvius (57) Flaccus,son of Q. Fulvius (59) M. f. Q. n. Flaccus
1248,Q. Fulvius (95) M. f. M. n. Nobilior,cos. 153
1249,P. Cornelius (375) Sisenna,pr. 183
1250,L. Iulius (27) (Caesar)?,pr. 183
1251,Sp. Postumius (49) A. f. A. n. Albinus (Paullulus),cos. 174
1253,T. Aebutius (10) Parrus,pr. 178
1254,L. Caecilius (49) Denter,pr. 182
1255,M. Ogulnius (4) Gallus,pr. 182
1256,C. Terentius (51) Istra,pr. 182
1257,C. Orchius (1),tr. pl. 182
1258,M. -?,leg. amb. 182
1259,"L. Minucius (15, 63) Thermus",leg. amb. c 154
1260,L. Aurelius (97) Cotta,tr. mil. a 181
1262,L. Duronius (2),pr. 181
1263,Q. Fabius (58) Buteo,pr. 181
1264,"M. Pinarius (4, 21?) Rusca (or Posca)?",pr. 181
1265,"Sex. Iulius (148, 149) Sex. f. L. n. Caesar",cos. 157
1266,M. Servilius (18) M. f. C. n.,son of? M. Servilius (78) C. f. P. n. Pulex Geminus
1267,L. Sulpicius (14),tr. mil. a 181
1268,L. Acilius (6),leg. lieut. a 181
1269,C. Scribonius (4),monetal. 154
1270,M'. Acilius (36) M'. f. C. n. Glabrio,cos. suff. 154
1271,L. Porcius (24) L. f. Pap.? Licinus,son of L. Porcius (23) L. f. M. n. Pap.? Licinus
1272,C. Lucretius (23) Gallus,pr. 171
1273,C. Matienus (2),pr. 173
1274,P. Cornelius (260) Mammula,pr. 180
1275,A. Hostilius (16) L. f. A. n. Mancinus,cos. 170
1276,C. Maenius (10),pr. 180
1277,Ti. Minucius (43) Molliculus Molliculus,pr. 180
1278,L. Postumius (41) A. f. A. n. Albinus,cos. 173
1279,L. Villius (5) Annalis,pr. 171
1281,"M. Fulvius (57, 92) (Nobilior)?",tr. mil. 180
1282,L. Cornelius (137) Dolabella,II vir naval. 178
1283,M. Popillius (24) P. f. P. n. Laenas,cos. 173
1284,P. Popillius (26) Laenas,son of? P. Popillius (25) (Laenas)
1285,P. Cornelius  (331) P. Africani f. P. n. Scipio,son of P. Cornelius (336) P. f. L. n. Scipio Africanus
1286,"Q. Fulvius (29, cf. 95) M. f. Nobilior",III vir epul. 180
1287,P. Cloelius (9) Siculus,rex. sacr. after 181
1288,P. Mucius (16) Q. f. P. n. Scaevola,cos. 175
1289,Q. Mucius (20) Q. f. P. n. Scaevola,cos. 174
1290,Ap. Claudius (103) Centho,pr. 175
1291,Cn. Servilius (45) Cn. f. Cn. n. Caepio,cos. 169
1292,-. Cominius (1),praef. 179
1295,Ti. Claudius (251) Nero,pr. 178
1296,"C. Cluvius (14, 1) Saxula",pr. before 177
1297,T. Fonteius (26) Capito,pr. 178
1298,"M. Titinius (13, cf. 20)",pr. 178
1300,M. Aebutius (7),tr. mil. 178
1301,"C. Aelius (6, cf. Caelius 1) (or Caelius)",tr. mil. 178
1302,T. Aelius (13),tr. mil. 178
1303,L. Atius (Attius 5),tr. mil. 178
1304,C. Cassius (55) C. f. C. n. Longinus,cos. 171
1305,M. Licinius (166) Strabo,tr. mil. 178
1306,-. Aebutius (1) T. f.,leg. env. 178
1308,C. Furius (10),leg. lieut. 170
1309,"Cn. Cornelius (320, 325) Scipio",pr. before 176
1310,C. Numisius (2),pr. 177
1311,C. Quinctius (40) Flamininus,pr. 177
1312,Q. Aelius (104) P. f. Q. n. Paetus,cos. 167
1314,A. Licinius (129) Nerva,tr. pl.? 177
1315,C. Papirius (76) Turdus,tr. pl. 177
1318,M. Claudius (225) M. f. M. n. Marcellus,cos. 166
1319,L. Aquillius (24) Gallus,pr. 176
1320,"M. Cornelius (348, cf. 35) Scipio Maluginensis",pr. 176
1321,P. Licinius (60) C. f. P. n. Crassus,cos. 171
1322,L. Papirius (62) Maso,pr. 176
1323,L. Furius (77) Philus,pr. 171
1324,P. Aelius (84) P. f. P. n. Ligus,cos. 172
1325,Q. Baebius (40) Sulca,pr. before 174
1326,"Ser. Cornelius (2, 388) Sulla",pr. before 174
1327,Cn. Lutatius (11) Cerco,pr. before 174
1328,C. Popillius (18) P. f. P. n. Laenas,cos. 172
1329,"M. Atilius (21, 68) (Serranus)?",pr. 174
1330,L. Claudius (22),pr. 174
1331,L. Cornelius (325) Scipio,pr. 174
1332,P. Furius (82) Philus,pr. 174
1333,C. Memmius (4),pr. 172
1334,"L. Canuleius (6, 12) (Dives)",pr. 171
1335,"Q. Minucius (23, cf. 24)",pr. before 163
1336,C. Sulpicius (50) C. f. Galba,pr. 171
1337,Ti. Veturius (23) Gracchus Sempronianus,son of? Ti. Sempronius (51) Ti. f. Ti. n. Gracchus
1338,C. Sempronius (63) Ti. f. Ti. n. Longus,X vir s. f. 174
1339,Cn. Cornelius (22),flam. 174
1340,C. Cicereius (1),pr. 173
1341,N. Fabius (56) Buteo,pr. 173
1342,C. Servilius (9) (Geminus)?,aed. pl. before 172
1343,M. Cornelius (259) Mammula,leg. amb. c 173
1344,M. Caecilius (50) Denter,leg. amb. c 173
1345,C. Tremellius (1),pr. before 169
1346,L. Appuleius (28) Saturninus,pr. 166
1347,Q. Appuleius (16),X vir agr. dand. assig. 173
1348,M. Caecilius (16),leg. amb. c 172
1349,C. Salonius (*2?),X vir agr. dand. assig. 173
1350,C. Munatius (5),X vir agr. dand. assig. 173
1352,Sp. Cluvius (8),pr. 172
1353,M. Iunius (122) M. f. M. n. Pennus,cos. 167
1354,C. Licinius (51) C. f. P. n. Crassus,cos. 168
1355,Sp. Lucretius (14),pr. 172
1356,Cn. Octavius (17) Cn. f. Cn. n.,cos. 165
1357,M. Lucretius (8),tr. pl. 172
1358,Q. Marcius (100) Scilla,tr. pl. 172
1359,M. Marcius (102) Sermo,tr. pl. 172
1360,M. Decimius (4),leg. amb. a? 172
1362,P. Cornelius (202) L. f. L. n. Lentulus,cos. suff. 162
1363,Ser. Cornelius (208a) Lentulus,pr. 169
1364,L. Decimius (3),leg. amb. d 172
1365,C. Plaetorius (4),leg. amb. f 172
1366,Cn. Domitius (19) Cn. f. L. n. Ahenobarbus,cos. suff. 162
1367,C. Caninius (8) Rebilus,pr. 171
1369,M. Fulvius (93) M. f. M. n. Nobilior,cos. 159
1370,"-. Manlius (43, 26?) L. f. Acidinus",tr. mil. 171
1371,-. Manlius (43) M. f. M. n. Acidinus,tr. mil. 171
1372,L. Pompeius (10),tr. mil. 171
1373,C. Decimius (1),pr. 169
1374,A. Licinius (131) Nerva,pr. 166
1375,C. Aburius (1),leg. amb. b 171
1376,Sp. Carvilius (7),leg. env. a 171
1377,M. Cornelius (93) C. f. C. n. Cethegus,cos. 160
1378,M. Fulvius (92) (Nobilior)?,leg. env. b? 171
1379,P. Marcius (89) Rex,son of M. Marcius (20)
1380,T. Minucius (58) Rufus,leg. lieut.? 171
1382,L. Hortensius (4),pr. 170
1383,Q. Maenius (14),pr. 170
1384,T. Manlius (83) A. f. T. n. Torquatus,cos. 165
1385,M. Raecius (3),pr. 170
1386,Cn. Aufidius (4),tr. pl. 170
1387,M'. Iuventius (30) T. f. T. n. Pap. Thalna,cos. 163
1388,Sex. Digitius (3),tr. mil. 170
1389,"Cn. Sicinius (6, 8)",leg. amb. c 170
1390,P. Cornelius (76) P. f.  Blasio,pr. before 149 to after 140
1391,T. Memmius (19),leg. amb. c 170
1392,M. Caninius (12) Rebilus,brother of? C. Caninius (8) Rebilus
1393,L. Coelius (1) (Coilius) (Antipater)?,leg. lieut. 169
1394,P. Fonteius (24) Capito,pr. 169
1395,C. Marcius (61) C. f. Q. n. Figulus,cos. 162
1396,P. Cornelius (353) P. f. Cn. n. Scipio Nasica Corculum,cos. 162
1397,P. Rutilius (8),tr. pl. 169
1398,Q. Voconius (4) Hor. Saxa,tr. pl. 169
1399,T. Numisius (10) Ste.? Tarquiniensis,leg. amb. b 167
1400,L. Baebius (15),leg. env. a 168
1403,Q. Marcius (80) Q. f. L. n. (Philippus),son of Q. Marcius (79) L. f. Q. n. Philippus
1404,"T. Annius (63, 64) T. f. Luscus",cos. 153
1405,P. Decius (20) Subolo,leg. env. d 168
1406,L. Postumius (42) Sp. f. L. n. Albinus,cos. 154
1407,M. Aebutius (13) Helva,pr. 168
1408,L. Anicius (15) L. f. L. n. Gallus,cos. 160
1409,"Cn. Baebius (42, cf. 43) Tamphilus",pr. 168
1410,P. Fonteius (17) Balbus,pr. 168
1411,C. Papirius (32) Carbo,pr. 168
1412,Cn. Tremellius (2),pr. 159
1413,"L. Manlius (26, cf. 43) (Acidinus)?",q. 168
1414,L. Stertinius (6),q. 168
1415,L. Cornelius (324) Scipio,q. 167
1416,C. Postumius (10),tr. mil. 168
1417,Ser. Sulpicius (58) Ser. f. P. n. Galba,cos. 144
1418,C. Hostilius (3) (Tubulus)?,son of C. Hostilius (25) Tubulus
1420,A. Postumius (31) A. f. A. n. Albinus,cos. 151
1421,A. Antonius (18),leg. env. b 168
1422,Q. Fabius (109) Q. f. Q. n. Maximus Aemilianus,cos. 145
1423,"L. Cornelius (190, 191?) Lentulus",leg. env. c 168
1424,Q. Caecilius (94) Q. f. L. n. Metellus Macedonicus,cos. 143
1425,C. Licinius (133) Nerva,pr. 167
1426,M. Perperna (3),leg. env. e 168
1427,L. Petillius (2),leg. env. e 168
1428,"-. Pompeius (not in *RE, cf. *1?)",leg. env. f 168
1429,Q. Aelius (154) Tro. Tubero,tr. pl.? 177
1430,Cn. Anicius (3),leg. lieut. 168
1431,L. Atilius (not in RE),leg. lieut.? 168
1433,M. Porcius (14) M. f. M. n. Cato Licinianus,pr. 152
1434,M. Sergius (41) Silus,son of? M. Sergius (40) Silus
1435,-. Salvius (1),praef. 168
1436,T. Sempronius (72) Musca,V vir fin. cognosc. stat. 168
1437,L. Naevius (11) Balbus,V vir fin. cognosc. stat. 168
1438,C. Appuleius (not in RE) Saturninus,V vir fin. cognosc. stat. 168
1439,Q. Cassius (69) L. f. Q. n. Longinus,cos. 164
1440,Ti. Claudius (252) Nero,pr. 167
1441,Cn. Fulvius (13),pr. 167
1442,A. Manlius (73) A. f. T. n. Torquatus,cos. 164
1443,M. Antonius (27),tr. pl. 167
1444,M. Pomponius (9),pr. 161
1445,Ti. Sempronius (12),tr. pl. 167
1446,P. Terentius (75) Tuscivicanus,leg. amb. a 167
1447,P. Manilius (13),brother of? M'. Manilius (12) P. f. P. n.
1448,L. Iunius (19) (Brutus)?,leg. amb. b 167
1449,T. Quinctius (46) T. f. T. n. Flamininus,cos. 150
1450,A. Baebius (8),praef. 167
1451,-. Gabinius (2),praef. 167
1452,Ap. Claudius (295) Cn. f. Ap. n. Pulcher,cos. 143
1453,M. Fonteius (11),pr. 166
1454,"L. Iulius (28, cf. 127) (Caesar)?",pr. 166
1455,P. Quinctilius (13) Varus,pr. 166
1456,P. Rutilius (12) Calvus,pr. 166
1457,Cn. Cornelius (132) Cn. f. Cn. n. Dolabella,cos. 159
1460,M. Valerius (253) M. f. M. n. Messalla,cos. 161
1461,C. Fannius (20) C. f. C. n. Strabo,cos. 161
1462,Q. Memmius (18),leg. amb. a 164
1463,T. Manlius (16),leg. amb. a 164
1464,M'. Sergius (16),leg. amb. b 164
1465,L. Cornelius (224) Cn. f. L. n. Lentulus Lupus,cos. 156
1466,L. Valerius (174) L. f. P. n. Flaccus,cos. 152
1468,L. Aurelius (179) L. f. L. n. Orestes,cos. 157
1469,Cn. Cornelius (269) Merula,leg. amb. c 154
1470,-. Servilius (64) Glaucia,leg. amb. c 162
1471,M. Aemilius (70) M'. f. M'. n. Lepidus,cos. 158
1472,L. Cornelius (271) Merula,aed. cur. 161
1473,P. Apustius (3),leg. amb. b 161
1474,"Cn. Cornelius (175, 177) Cn. f. L. n. Lentulus",cos. 146
1475,L. Marcius (46) C. f. C. n. Censorinus,cos. 149
1476,Q. Opimius (10) Q. f. Q. n.,cos. 154
1479,"C. Petronius (86, cf. 89)",leg. amb. b 156
1480,M'. Manilius (12) P. f. P. n.,cos. 149
1481,C. Claudius (106) Centho,son of? C. Claudius (105) Centho
1482,C. Aurunculeius (3),leg. amb. 155
1483,L. Calpurnius (87) C. f. C. n. Piso Caesoninus,cos. 148
1484,L. Licinius (102) Lucullus,cos. 151
1485,L. Aurelius (98) L.? f. C. n. Cotta,cos. 144
1486,-. Terentius (77) Varro,q. before 153
1487,L. Oppius (10),pr. before 154
1489,-. Flaminius (1),son of? C. Flaminius (3) C. f. C. n.
1492,L. Valerius (175) L. f. L. n. Flaccus,cos. 131
1493,Publilia (16),married to L. Postumius (42) Sp. f. L. n. Albinus
1494,M'. Acilius (25) L. f. K. n. Balbus,cos. 150
1495,"L. Mummius (7a, 16.1195ff.) L. f. L. n. Achaicus",cos. 146
1496,-. Aelius (1),pr.? before 200 to after 101
1497,-. Fufius (1),pr.? before 200 to after 101
1498,Q. -? (not in RE),leg. amb. a 153
1499,"M. Atilius (22, cf. 67) (Serranus)?",pr. c. 153
1500,P. Licinius (72) P. f. P. n. Crassus Dives Mucianus,cos. 131
1502,"Sp. Postumius (47, cf. 23) Sp. f. Sp. n. Albinus Magnus",cos. 148
1503,A. Hostilius (17) Mancinus,aed. cur. before 150
1504,P. Cornelius (335) P. f. P. n. Scipio Africanus Aemilianus,cos. 147
1506,Cn. Cornelius (347) Cn. f. Cn. n. Scipio Hispanus,pr. 139
1507,"P. Iuventius (31, cf. 25) Thalna",pr. 149
1508,L. Hostilius (20) L. f. L. n. Mancinus,cos. 145
1509,-. Atinius (not in RE),tr. pl.? 149
1510,L. Calpurnius (96) L. f. C. n. Piso Frugi,cos. 133
1511,L. Scribonius (18) Libo,tr. pl. 149
1512,"M. Scantius or Scantinius? (Scantius 2, cf. Scantinius 1)",tr. pl. before 148
1513,P. Cornelius (354) P. f. P. n. Scipio Nasica Serapio,cos. 138
1514,M. Licinius (22),pr. before 148
1515,L. Manlius (94) Vulso,son of L. Manlius (93) Vulso
1516,C. Pescennius (19.1086),III vir cap. before 149
1518,L. Fulcinnius (2),q.? 167
1519,C. Livius  (14) M. Aemiliani f. M. n.  Drusus,cos. 147
1520,L. Licinius (120) Murena,pr. before 146
1521,C. Sempronius (91) Tuditanus,pr. before 146
1522,C. Vetilius (1),pr. 147
1523,C. Fannius (7) M. f. (C.? n.),cos. 122
1524,C. Laelius (3) C. f. C. n. Men. Sapiens,cos. 140
1525,Ti. Sempronius (54) Ti. f. P. n. Gracchus,tr. pl. 133
1529,-. Claudius (376) Unimanus,pr. 146
1530,-. Oppius (2),pr. before 145
1531,C. Plautius (9) (Hypsaeus),pr. 146
1532,"L. Iulius (29, cf. 141)",aed. cur. before 145
1533,M. Iunius (49) M. f. M. n. Brutus,pr. before 139
1534,"M. Iunius (22, cf. 169) (Silanus)?",aed. cur.? before 145
1535,-. Livius (2),tr. pl. 146
1536,C. Publilius (6),q.? 168
1537,A. Terentius (81) Varro,son of? A. Terentius (80) Varro
1538,C. Papirius (12) (Carbo),leg. env. 146
1541,A. Gabinius (6),tr. pl. 139
1542,Sp. Mummius (13),pr. before 143
1543,D. Iunius (160) Silanus,son of D. Iunius (B) Silanus
1544,L. Caecilius (83) Q. f. L. n. Metellus Calvus,cos. 142
1545,Q. Fabius (115) Q. f. Q. n. Maximus Servilianus,cos. 142
1546,C. Nigidius (1),pr. 145 to 144
1547,"C. Licinius (52, cf. 14) Crassus",tr. pl. 145
1548,C. Sempronius (92) C. f. C. n. Tuditanus,cos. 129
1549,M. Petronius (89),leg. amb. b? 145
1550,Q. Marcius (90) Rex,pr. 144
1551,Q. Pompeius (12) A. f.,cos. 141
1552,Cn. Servilius (46) Cn. f. Cn. n. Caepio,cos. 141
1553,M. Aemilius (83) M. f. M. n. Lepidus Porcina,cos. 137
1554,-. Licinius (130) Nerva,pr. 143
1555,-. Quinctius (2),pr. 143
1556,Q. Servilius (48) Cn. f. Cn. n. Caepio,cos. 140
1557,T. Didius (1),tr. pl. 143
1558,L. Tremellius (6) Cn. f. Cam. Scrofa,pr. before 135
1559,Q. Occius (1) Achilles,leg. lieut. 140
1560,Claudia (384),daughter of Ap. Claudius (295) Cn. f. Ap. n. Pulcher
1561,Cn. Calpurnius (73) Piso,cos. 139
1562,L. Hostilius (26) Tubulus,pr. 142
1563,M. Popillius (22) M. f. P. n. Laenas,cos. 139
1565,D. Iunius (57) M. f. M. n. Brutus Callaicus,cos. 138
1566,D. Iunius (161) Silanus Manlianus,pr. 141
1567,P. Mucius (17) P. f. Q. n. Scaevola,cos. 133
1568,L. Cornelius (192) P. f. L. n. Lentulus,cos.? 130
1569,C. Hostilius (18) A. f. L. n. Mancinus,cos. 137
1570,Ti. Claudius (63) Asellus,tr. pl. 140
1571,-. Oppius (3),tr. mil. 140
1572,"Sex. Atilius (69, cf. 57) M. f. Serranus",cos. 136
1573,L. Furius (78) Philus,cos. 136
1574,L. Plautius (20) Hypsaeus,pr. c. 138
1575,Q. Calpurnius (86) C. f. C. n. Piso,cos. 135
1576,Ser. Fulvius (64) Q. f. Flaccus,cos. 135
1577,"C. Curiatius (3, cf. 10, 11)",tr. pl. before 137
